Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,086071,1891,30.9,9.4,32.0,61.3,56.9,64.9,178.4,37.1,29.0,73.7,53.8,52.3,679.7
IDCJAC0001,086071,1892,22.0,14.7,40.2,132.8,50.6,33.1,36.9,52.5,58.6,88.0,63.6,42.7,635.7
IDCJAC0001,086071,1893,4.9,6.4,36.9,52.9,94.5,88.9,59.3,43.7,82.2,88.1,60.4,64.8,683.0
IDCJAC0001,086071,1894,12.0,5.3,27.0,72.4,40.8,56.3,57.0,49.9,68.5,97.0,20.6,69.1,575.9
IDCJAC0001,086071,1895,46.2,18.9,45.8,39.4,23.9,38.7,52.0,46.2,47.3,14.5,6.5,55.4,434.8
IDCJAC0001,086071,1896,66.5,78.3,49.8,69.0,66.5,65.3,58.8,70.1,49.3,18.1,20.0,29.6,641.3
IDCJAC0001,086071,1897,138.7,75.6,38.0,16.3,50.2,41.8,62.2,48.3,64.7,45.2,21.0,55.8,657.8
IDCJAC0001,086071,1898,7.6,7.1,29.2,40.7,55.1,39.9,47.6,23.6,73.6,30.9,17.1,24.7,397.1
IDCJAC0001,086071,1899,99.2,36.6,75.8,64.0,90.0,77.5,32.8,63.6,28.3,83.4,51.3,31.2,733.7
IDCJAC0001,086071,1900,84.0,11.7,100.4,126.4,97.5,44.7,27.2,59.5,74.0,32.8,26.5,30.1,714.8
IDCJAC0001,086071,1901,76.5,16.3,79.7,170.6,11.5,50.7,32.1,48.0,37.5,109.6,48.5,17.3,698.3
IDCJAC0001,086071,1902,38.9,24.3,138.3,14.7,26.7,68.8,14.9,22.6,84.3,19.7,25.0,110.4,588.6
IDCJAC0001,086071,1903,24.0,34.5,74.5,95.5,49.4,85.3,29.1,12.4,80.9,70.3,108.9,58.6,723.4
IDCJAC0001,086071,1904,144.2,158.6,24.3,19.6,65.0,83.6,40.2,83.3,32.1,69.0,32.9,2.8,755.6
IDCJAC0001,086071,1905,37.4,46.6,24.5,76.8,75.6,33.6,83.7,33.9,62.7,65.6,31.9,80.9,653.2
IDCJAC0001,086071,1906,9.4,11.2,96.3,34.6,44.9,38.4,34.2,44.1,97.6,74.6,62.8,19.0,567.1
IDCJAC0001,086071,1907,28.1,16.7,42.7,60.4,42.2,30.1,55.3,50.1,13.4,38.4,59.6,129.7,566.7
IDCJAC0001,086071,1908,17.4,15.5,55.5,8.4,22.4,100.3,42.2,32.2,61.5,56.4,23.7,16.1,451.6
IDCJAC0001,086071,1909,82.2,37.3,30.3,48.9,80.0,83.5,30.6,91.4,47.0,41.0,15.6,70.5,658.3
IDCJAC0001,086071,1910,24.9,9.8,55.6,23.8,62.9,34.1,63.1,22.8,106.6,71.4,59.2,92.6,626.8
IDCJAC0001,086071,1911,32.7,135.9,190.7,28.5,85.1,94.7,57.8,34.8,77.7,64.5,35.0,93.3,930.7
IDCJAC0001,086071,1912,12.0,23.9,18.9,59.2,34.3,32.6,51.3,42.3,59.8,33.5,60.4,90.3,518.5
IDCJAC0001,086071,1913,9.4,30.2,131.1,34.5,79.2,36.4,18.0,47.3,35.2,37.5,43.2,37.7,539.7
IDCJAC0001,086071,1914,36.9,3.9,43.0,43.9,64.8,39.9,46.7,17.0,27.7,7.5,60.1,81.7,473.1
IDCJAC0001,086071,1915,41.0,19.9,6.4,58.6,100.9,53.1,43.9,54.4,55.9,72.1,13.1,13.9,533.2
IDCJAC0001,086071,1916,112.3,51.2,27.2,52.5,24.8,41.3,39.2,57.0,201.6,78.5,170.5,111.4,967.5
IDCJAC0001,086071,1917,44.6,49.0,35.9,47.1,56.0,92.4,36.0,57.2,86.9,92.7,106.4,73.5,777.7
IDCJAC0001,086071,1918,62.1,27.5,113.4,41.1,79.1,44.7,44.4,69.6,87.6,59.9,13.3,48.2,690.9
IDCJAC0001,086071,1919,17.0,92.8,164.8,18.7,42.4,32.1,59.6,14.7,26.8,41.7,29.5,93.7,633.8
IDCJAC0001,086071,1920,38.6,15.3,27.5,65.8,50.5,78.8,39.1,80.8,122.2,94.6,81.7,25.2,720.1
IDCJAC0001,086071,1921,114.2,38.1,25.8,15.3,69.7,39.9,61.2,77.7,92.4,93.0,66.5,63.5,757.3
IDCJAC0001,086071,1922,30.1,92.2,11.1,35.4,68.5,46.2,67.9,63.1,64.4,80.1,26.6,51.4,637.0
IDCJAC0001,086071,1923,25.2,15.5,8.4,0.0,50.0,58.0,72.2,44.8,58.6,93.0,70.8,79.4,575.9
IDCJAC0001,086071,1924,72.9,96.2,146.7,93.0,21.3,30.3,22.1,103.0,58.0,99.9,108.8,75.6,927.8
IDCJAC0001,086071,1925,80.8,28.8,15.8,37.8,37.5,24.0,58.6,34.7,41.1,28.0,51.2,9.4,447.7
IDCJAC0001,086071,1926,88.8,1.3,34.8,50.0,61.9,72.0,37.0,39.5,29.3,47.1,28.0,32.1,521.8
IDCJAC0001,086071,1927,15.3,19.0,34.1,14.5,48.9,34.5,72.2,49.3,44.2,62.3,30.4,33.6,458.3
IDCJAC0001,086071,1928,102.8,116.1,106.4,22.3,56.8,37.1,16.6,21.1,28.7,55.4,30.6,19.8,613.7
IDCJAC0001,086071,1929,34.8,79.6,99.7,99.3,47.3,28.6,40.9,51.0,42.4,71.6,74.5,63.6,733.3
IDCJAC0001,086071,1930,3.6,68.8,11.8,44.7,82.8,48.0,37.9,75.1,32.3,53.9,59.8,128.6,647.3
IDCJAC0001,086071,1931,31.9,30.5,139.7,71.6,68.0,97.9,53.0,47.8,51.5,21.3,100.0,15.3,728.5
IDCJAC0001,086071,1932,0.3,67.2,107.7,137.9,15.3,53.5,48.2,82.9,20.8,130.7,16.6,110.2,791.3
IDCJAC0001,086071,1933,44.4,5.9,37.8,14.1,37.8,37.9,83.7,52.4,30.5,39.7,62.4,120.3,566.9
IDCJAC0001,086071,1934,91.3,27.9,3.7,144.5,3.8,44.1,41.9,50.2,41.0,156.6,133.2,115.1,853.3
IDCJAC0001,086071,1935,99.3,78.6,40.9,150.9,39.8,53.6,47.9,36.3,50.7,73.4,52.3,38.9,762.6
IDCJAC0001,086071,1936,33.1,14.8,13.4,109.3,23.1,68.1,112.3,43.8,26.5,61.1,46.1,67.4,619.0
IDCJAC0001,086071,1937,64.5,41.4,31.5,36.0,31.8,32.2,31.1,33.3,43.2,154.8,10.2,36.2,546.2
IDCJAC0001,086071,1938,36.7,47.6,29.4,26.8,19.9,102.2,57.2,25.2,18.6,30.1,37.4,17.6,448.7
IDCJAC0001,086071,1939,8.0,196.1,20.1,113.9,50.6,78.8,24.1,110.8,53.5,52.5,116.3,17.6,842.3
IDCJAC0001,086071,1940,50.4,12.1,15.9,84.7,31.7,42.3,53.4,28.6,70.2,20.2,42.5,53.0,505.0
IDCJAC0001,086071,1941,169.3,22.2,54.8,63.0,27.1,85.4,58.4,66.9,81.5,42.5,42.1,95.4,808.6
IDCJAC0001,086071,1942,35.8,79.8,96.6,51.8,142.5,31.3,38.2,43.3,50.1,59.2,95.8,33.5,757.9
IDCJAC0001,086071,1943,71.9,41.8,11.8,55.1,15.4,58.0,31.4,24.3,50.5,21.3,79.3,17.4,478.2
IDCJAC0001,086071,1944,18.9,10.1,41.4,86.6,112.4,37.3,30.5,15.1,36.2,53.5,28.5,72.7,543.2
IDCJAC0001,086071,1945,56.7,32.1,14.6,21.3,66.2,38.0,61.8,54.7,34.0,27.4,59.7,23.2,489.7
IDCJAC0001,086071,1946,67.8,178.1,50.5,62.3,15.5,74.5,38.7,34.6,74.7,39.6,45.3,76.3,757.9
IDCJAC0001,086071,1947,16.5,35.3,145.8,83.8,12.0,29.7,94.5,32.4,55.9,118.5,51.4,99.5,775.3
IDCJAC0001,086071,1948,31.4,49.5,7.4,85.7,46.7,34.0,14.8,30.1,49.8,91.0,49.8,43.8,534.0
IDCJAC0001,086071,1949,34.1,61.8,133.5,30.4,63.8,52.4,56.4,25.1,40.9,128.6,139.9,31.6,798.5
IDCJAC0001,086071,1950,13.0,107.3,88.4,42.5,59.9,21.4,35.4,31.4,75.5,79.3,51.2,61.5,666.8
IDCJAC0001,086071,1951,32.7,139.3,4.9,83.8,96.4,65.2,74.0,70.5,47.5,43.6,46.3,55.3,759.5
IDCJAC0001,086071,1952,22.9,55.6,35.8,49.5,78.2,89.3,125.8,70.5,61.0,86.8,115.7,83.8,874.9
IDCJAC0001,086071,1953,73.4,58.8,16.6,36.6,67.0,48.9,32.0,57.8,113.2,119.4,66.7,31.5,721.9
IDCJAC0001,086071,1954,33.4,42.0,11.0,58.5,45.9,52.0,38.6,53.3,54.7,89.0,206.1,168.5,853.0
IDCJAC0001,086071,1955,20.8,102.0,65.2,38.1,78.4,67.9,46.5,73.8,89.2,70.4,38.2,90.1,780.6
IDCJAC0001,086071,1956,106.4,1.5,93.4,52.4,106.3,30.5,44.1,68.1,76.4,113.2,72.4,22.3,787.0
IDCJAC0001,086071,1957,6.8,30.0,37.4,29.4,44.2,36.7,85.9,47.1,73.6,60.0,51.7,27.5,530.3
IDCJAC0001,086071,1958,13.1,103.3,21.5,27.3,89.5,15.6,52.9,81.5,76.9,102.6,70.5,31.8,686.5
IDCJAC0001,086071,1959,13.9,31.8,104.3,15.6,37.6,61.4,65.4,47.2,104.1,82.8,23.5,69.7,657.3
IDCJAC0001,086071,1960,45.8,61.2,10.8,195.0,95.2,20.0,52.0,70.9,92.5,39.0,137.9,31.6,851.9
IDCJAC0001,086071,1961,33.6,37.6,60.0,75.9,78.1,51.7,54.1,56.0,25.8,35.9,26.3,27.1,562.1
IDCJAC0001,086071,1962,60.2,30.8,9.1,27.0,116.5,42.1,43.4,53.3,31.1,111.2,26.7,35.5,586.9
IDCJAC0001,086071,1963,176.0,31.2,48.7,11.0,78.0,42.8,83.8,44.0,92.0,88.0,23.4,20.1,739.0
IDCJAC0001,086071,1964,2.1,78.0,28.1,100.1,75.9,29.2,58.9,59.4,77.4,68.3,34.3,95.6,707.3
IDCJAC0001,086071,1965,13.2,0.5,14.0,113.0,73.3,26.8,63.0,100.7,42.8,16.8,60.9,66.3,591.3
IDCJAC0001,086071,1966,37.9,47.9,68.9,60.6,45.3,37.9,51.8,61.0,63.3,65.7,40.0,101.9,682.2
IDCJAC0001,086071,1967,20.7,3.6,14.3,17.8,41.9,36.2,29.4,66.4,41.3,15.1,11.2,34.4,332.3
IDCJAC0001,086071,1968,42.9,7.7,32.8,64.7,91.5,55.4,38.1,36.6,16.7,48.0,42.2,56.7,533.3
IDCJAC0001,086071,1969,19.4,115.5,55.8,25.7,128.5,11.3,59.0,31.4,64.4,38.9,38.7,37.1,625.7
IDCJAC0001,086071,1970,99.1,15.5,137.2,80.1,69.3,51.5,25.2,68.2,32.8,39.6,66.7,119.2,804.4
IDCJAC0001,086071,1971,90.4,100.7,26.0,48.6,61.0,50.6,28.1,32.0,49.1,87.2,139.3,67.4,780.4
IDCJAC0001,086071,1972,28.8,238.2,17.0,52.4,22.7,12.7,34.3,38.1,27.9,42.6,50.4,1.7,566.8
IDCJAC0001,086071,1973,58.0,200.8,83.0,29.8,62.9,51.9,47.1,58.1,51.6,80.6,48.4,46.1,818.3
IDCJAC0001,086071,1974,64.8,27.2,35.9,114.4,135.4,13.2,86.6,71.0,66.8,86.4,50.2,51.6,803.5
IDCJAC0001,086071,1975,20.8,7.0,48.2,19.6,44.4,29.2,35.8,109.4,98.6,150.2,75.8,70.8,709.8
IDCJAC0001,086071,1976,24.1,20.0,33.2,14.4,21.2,29.8,17.2,56.2,78.8,72.4,95.8,40.8,503.9
IDCJAC0001,086071,1977,75.4,30.2,27.0,64.4,59.6,109.0,46.8,24.0,84.8,22.2,36.0,25.6,605.0
IDCJAC0001,086071,1978,52.4,41.0,79.8,57.8,110.6,25.8,52.8,93.4,46.4,68.6,128.0,110.4,867.0
IDCJAC0001,086071,1979,36.4,43.0,27.0,44.8,88.6,16.6,9.4,63.8,62.2,112.0,27.4,12.0,543.2
IDCJAC0001,086071,1980,62.8,20.2,15.8,76.2,62.8,87.0,33.8,46.8,27.4,96.0,44.8,70.6,644.2
IDCJAC0001,086071,1981,40.2,32.6,44.4,20.8,107.2,56.0,66.2,81.4,16.6,54.6,54.4,27.8,602.2
IDCJAC0001,086071,1982,51.2,8.8,55.2,35.6,49.0,30.4,12.6,28.8,44.4,41.2,17.6,47.4,422.2
IDCJAC0001,086071,1983,29.8,0.6,46.0,40.4,55.2,32.4,63.6,58.0,81.8,114.2,70.4,19.6,612.0
IDCJAC0001,086071,1984,70.0,18.8,38.4,52.4,10.2,23.8,41.4,52.2,115.2,41.4,55.0,46.0,564.8
IDCJAC0001,086071,1985,16.6,6.2,49.4,62.2,53.8,62.8,37.8,80.8,42.0,52.8,77.0,136.8,678.2
IDCJAC0001,086071,1986,22.4,16.0,17.0,55.2,73.8,28.2,76.8,48.4,27.4,53.8,38.4,70.2,527.6
IDCJAC0001,086071,1987,57.2,57.2,50.2,18.6,85.2,51.2,68.8,23.2,38.0,38.8,82.0,84.6,655.0
IDCJAC0001,086071,1988,55.2,19.2,29.4,10.2,58.0,50.6,56.6,53.0,49.6,27.4,165.8,103.6,678.6
IDCJAC0001,086071,1989,47.6,44.2,81.8,92.8,56.0,90.4,51.2,77.8,40.6,90.4,31.2,88.8,792.8
IDCJAC0001,086071,1990,3.8,74.4,32.0,94.6,17.2,37.2,91.0,49.8,54.4,96.6,47.6,26.6,625.2
IDCJAC0001,086071,1991,126.0,0.6,55.6,43.8,19.0,116.8,50.6,63.2,74.2,34.2,25.4,111.2,720.6
IDCJAC0001,086071,1992,45.4,32.0,28.2,43.4,64.4,45.0,26.8,65.0,125.2,106.0,139.8,108.6,829.8
IDCJAC0001,086071,1993,92.8,58.8,37.6,20.2,37.4,36.6,51.4,53.2,126.0,61.2,71.4,197.4,844.0
IDCJAC0001,086071,1994,30.0,106.8,26.2,66.0,31.8,40.8,12.0,24.6,32.2,36.0,51.0,14.4,471.8
IDCJAC0001,086071,1995,101.4,22.0,71.6,102.0,79.4,76.2,58.6,46.4,46.4,91.2,76.4,31.4,803.0
IDCJAC0001,086071,1996,116.2,87.0,42.8,130.4,32.2,71.4,72.8,52.8,62.4,48.4,37.0,23.6,777.0
IDCJAC0001,086071,1997,29.2,4.6,20.0,13.8,59.6,35.0,18.2,27.8,56.8,30.8,56.8,7.2,359.8
IDCJAC0001,086071,1998,59.4,71.6,7.4,50.2,50.0,50.6,39.6,22.8,35.4,78.6,57.0,62.4,585.0
IDCJAC0001,086071,1999,25.4,47.6,48.0,40.2,63.4,54.2,17.8,86.6,30.8,62.0,40.2,94.2,610.4
IDCJAC0001,086071,2000,38.0,33.4,25.4,47.0,91.0,42.0,46.8,49.2,81.6,105.8,34.8,34.6,629.6
IDCJAC0001,086071,2001,11.8,11.6,86.6,125.6,14.6,59.8,12.4,49.0,39.4,70.2,74.8,49.4,605.2
IDCJAC0001,086071,2002,38.2,68.0,21.0,39.4,36.8,27.2,19.6,35.6,39.2,34.2,25.4,12.0,396.6
IDCJAC0001,086071,2003,10.6,20.0,22.6,73.2,23.6,35.2,68.0,49.4,29.2,70.8,19.2,71.2,493.0
IDCJAC0001,086071,2004,63.2,13.0,14.8,51.8,29.2,38.2,27.6,72.2,65.0,64.8,123.4,59.0,622.2
IDCJAC0001,086071,2005,23.8,167.4,8.6,30.6,10.6,42.6,25.2,59.4,41.0,41.6,57.6,81.6,590.0
IDCJAC0001,086071,2006,54.2,72.4,16.0,45.0,67.0,8.8,51.6,34.4,36.6,9.2,24.8,18.4,438.4
IDCJAC0001,086071,2007,33.4,13.2,42.2,23.0,38.8,46.8,62.6,15.0,18.6,17.4,66.2,71.2,448.4
IDCJAC0001,086071,2008,32.8,24.6,70.8,16.4,44.0,14.4,44.4,44.8,12.0,14.2,54.2,76.8,449.4
IDCJAC0001,086071,2009,0.8,3.0,47.6,39.2,10.6,25.8,39.6,41.2,71.2,22.0,103.6,60.2,464.8
IDCJAC0001,086071,2010,25.6,62.8,84.8,21.4,25.0,63.4,30.8,68.2,53.0,144.8,115.2,85.2,780.2
